,OpSetting1,OpSetting2,OpSetting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21
2020-01-27,34.9983,0.84,100.0,449.44,555.32,1358.61,1137.23,5.48,8.0,194.64,2222.65,8341.91,1.02,42.02,183.06,2387.72,8048.56,9.3461,0.02,334,2223,100.0,14.73,8.8071
2020-01-28,41.9982,0.8408,100.0,445.0,549.9,1353.22,1125.78,3.91,5.71,138.51,2211.57,8303.96,1.02,42.2,130.42,2387.66,8072.3,9.3774,0.02,330,2212,100.0,10.41,6.2665
2020-01-29,24.9988,0.6218,60.0,462.54,537.31,1256.76,1047.45,7.05,9.02,175.71,1915.11,8001.42,0.94,36.69,164.22,2028.03,7864.87,10.8941,0.02,309,1915,84.93,14.08,8.6723
2020-01-30,42.0077,0.8416,100.0,445.0,549.51,1354.03,1126.38,3.91,5.71,138.46,2211.58,8303.96,1.02,41.96,130.72,2387.61,8068.66,9.3528,0.02,329,2212,100.0,10.59,6.4701
2020-01-31,25.0005,0.6203,60.0,462.54,537.07,1257.71,1047.93,7.05,9.03,175.05,1915.1,7993.23,0.94,36.89,164.31,2028.0,7861.23,10.8963,0.02,309,1915,84.93,14.13,8.5286
2020-02-01,25.0045,0.6205,60.0,462.54,537.02,1266.38,1048.72,7.05,9.03,175.17,1915.15,7996.1,0.94,36.78,164.27,2028.01,7868.87,10.8912,0.02,306,1915,84.93,14.28,8.559
2020-02-02,42.0043,0.8409,100.0,445.0,549.74,1347.45,1127.19,3.91,5.71,138.71,2211.62,8307.75,1.02,42.19,130.49,2387.69,8075.54,9.3753,0.02,330,2212,100.0,10.62,6.4227
2020-02-03,20.002,0.7002,100.0,491.19,607.44,1481.69,1252.36,9.35,13.65,334.41,2323.87,8709.12,1.08,44.27,315.11,2387.99,8049.26,9.2369,0.02,365,2324,100.0,24.33,14.7989
2020-02-04,41.9995,0.8407,100.0,445.0,549.33,1348.23,1127.45,3.91,5.71,138.06,2211.61,8312.33,1.02,42.3,130.97,2387.62,8065.78,9.3878,0.02,331,2212,100.0,10.69,6.3802
2020-02-05,42.0011,0.84,100.0,445.0,549.33,1356.4,1127.11,3.91,5.71,138.7,2211.56,8302.31,1.02,42.02,130.5,2387.62,8069.11,9.3957,0.02,329,2212,100.0,10.57,6.2847
