,OpSetting1,OpSetting2,OpSetting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21
2019-11-16,24.9997,0.62,60.0,462.54,536.61,1259.2,1039.97,7.05,9.02,175.18,1915.36,8013.82,0.94,36.42,164.93,2028.29,7877.27,10.837,0.02,305,1915,84.93,14.41,8.5387
2019-11-17,0.0026,0.001,100.0,518.67,642.58,1584.0,1403.78,14.62,21.61,554.14,2388.06,9060.01,1.3,47.15,522.53,2388.08,8140.68,8.4034,0.03,394,2388,100.0,38.84,23.272
2019-11-18,0.0018,0.0,100.0,518.67,642.33,1578.3,1392.41,14.62,21.61,554.37,2388.05,9063.72,1.3,47.26,522.27,2388.02,8143.15,8.4481,0.03,392,2388,100.0,39.12,23.4035
2019-11-19,42.0069,0.84,100.0,445.0,549.21,1348.72,1126.42,3.91,5.71,139.29,2211.95,8325.12,1.02,41.83,130.22,2388.02,8084.98,9.379,0.02,331,2212,100.0,10.68,6.4362
2019-11-20,0.0018,0.0009,100.0,518.67,641.84,1582.58,1395.48,14.62,21.61,554.47,2388.03,9058.67,1.3,47.16,522.09,2388.01,8140.43,8.41,0.03,392,2388,100.0,38.91,23.2753
2019-11-21,42.0013,0.84,100.0,445.0,549.64,1351.6,1121.87,3.91,5.72,139.18,2211.95,8325.39,1.02,42.0,130.93,2388.05,8086.04,9.3334,0.02,331,2212,100.0,10.64,6.5009
2019-11-22,0.0014,0.0014,100.0,518.67,641.98,1583.35,1392.33,14.62,21.61,553.77,2388.09,9051.72,1.3,47.15,521.58,2387.98,8136.24,8.3859,0.03,391,2388,100.0,38.87,23.4062
2019-11-23,10.0001,0.25,100.0,489.05,604.36,1490.97,1304.61,10.52,15.49,394.63,2318.9,8782.68,1.26,45.28,371.44,2388.05,8131.57,8.6123,0.03,368,2319,100.0,28.85,17.2088
2019-11-24,42.0066,0.8417,100.0,445.0,549.17,1345.52,1124.62,3.91,5.72,139.17,2211.94,8320.99,1.02,41.9,130.31,2388.03,8084.09,9.3357,0.02,330,2212,100.0,10.63,6.3374
2019-11-25,41.999,0.84,100.0,445.0,549.03,1345.49,1126.98,3.91,5.71,138.42,2211.92,8315.75,1.02,41.87,130.47,2388.05,8083.04,9.3638,0.02,330,2212,100.0,10.46,6.3393
2019-11-26,0.0028,0.0,100.0,518.67,641.54,1587.81,1400.04,14.62,21.61,554.7,2387.98,9062.28,1.3,47.07,522.53,2388.01,8139.19,8.4018,0.03,391,2388,100.0,38.91,23.3488
2019-11-27,10.0073,0.2513,100.0,489.05,604.15,1489.17,1304.85,10.52,15.49,393.84,2318.86,8779.87,1.26,45.4,372.3,2388.06,8131.88,8.6537,0.03,370,2319,100.0,28.67,17.1647
2019-11-28,41.9988,0.842,100.0,445.0,549.38,1351.94,1121.49,3.91,5.71,138.28,2211.93,8321.96,1.02,41.72,131.2,2388.05,8086.11,9.3665,0.02,330,2212,100.0,10.82,6.4056
2019-11-29,42.0031,0.84,100.0,445.0,549.43,1350.19,1120.69,3.91,5.72,139.12,2211.94,8311.58,1.02,41.82,131.05,2388.02,8080.42,9.355,0.02,329,2212,100.0,10.6,6.3929
2019-11-30,42.0054,0.8418,100.0,445.0,549.36,1346.39,1125.34,3.91,5.71,138.23,2211.97,8325.73,1.02,41.74,130.99,2388.05,8090.39,9.3687,0.02,330,2212,100.0,10.61,6.3228
2019-12-01,0.0006,0.0,100.0,518.67,642.78,1594.54,1393.75,14.62,21.61,554.97,2388.07,9053.81,1.3,47.33,522.65,2388.06,8138.66,8.4092,0.03,392,2388,100.0,38.78,23.3151
2019-12-02,10.0071,0.2504,100.0,489.05,604.15,1503.64,1307.21,10.52,15.49,395.49,2318.83,8781.53,1.26,45.3,371.95,2387.98,8133.67,8.6706,0.03,368,2319,100.0,28.66,17.1807
2019-12-03,42.0052,0.8401,100.0,445.0,549.52,1352.58,1119.77,3.91,5.71,139.06,2211.97,8323.61,1.02,41.88,130.85,2387.99,8086.35,9.3432,0.02,332,2212,100.0,10.72,6.28
2019-12-04,10.002,0.25,100.0,489.05,604.54,1504.71,1303.25,10.52,15.49,394.75,2318.81,8780.62,1.26,45.23,371.8,2388.04,8129.64,8.6308,0.03,369,2319,100.0,28.73,17.2026
2019-12-05,35.0016,0.8412,100.0,449.44,555.46,1365.99,1125.36,5.48,8.0,194.33,2222.93,8347.88,1.02,41.84,183.26,2388.02,8066.12,9.2919,0.02,334,2223,100.0,14.83,8.8991
2019-12-06,9.9998,0.2513,100.0,489.05,604.06,1497.53,1296.2,10.52,15.49,395.17,2318.87,8778.14,1.26,45.12,372.25,2388.03,8130.79,8.639,0.03,369,2319,100.0,28.63,17.2552
2019-12-07,25.0046,0.62,60.0,462.54,537.14,1262.26,1042.84,7.05,9.03,175.64,1915.32,8011.86,0.94,36.61,165.05,2028.25,7873.23,10.838,0.02,305,1915,84.93,14.42,8.5184
2019-12-08,20.0032,0.7009,100.0,491.19,607.56,1478.76,1245.96,9.35,13.65,334.38,2323.86,8726.38,1.08,44.21,315.56,2388.06,8060.66,9.1867,0.02,363,2324,100.0,24.48,14.6362
2019-12-09,35.0034,0.84,100.0,449.44,555.39,1361.4,1124.82,5.48,8.0,194.95,2222.93,8346.0,1.02,41.84,183.3,2388.04,8067.95,9.3131,0.02,333,2223,100.0,15.19,8.8373
2019-12-10,9.9992,0.2508,100.0,489.05,604.67,1499.18,1303.21,10.52,15.49,395.44,2318.86,8788.7,1.26,45.12,371.7,2388.01,8132.51,8.6095,0.03,368,2319,100.0,28.64,17.1713
2019-12-11,42.004,0.8416,100.0,445.0,549.67,1350.92,1117.01,3.91,5.72,137.95,2211.93,8323.63,1.02,41.91,130.7,2388.03,8089.48,9.3312,0.02,328,2212,100.0,10.75,6.3676
2019-12-12,25.0,0.62,60.0,462.54,536.61,1254.76,1047.32,7.05,9.02,175.48,1915.37,8013.9,0.94,36.61,164.63,2028.29,7877.44,10.8564,0.02,305,1915,84.93,14.24,8.527
2019-12-13,10.0021,0.25,100.0,489.05,604.86,1491.36,1302.13,10.52,15.49,394.91,2318.88,8782.39,1.26,45.37,372.35,2388.04,8131.47,8.6342,0.03,369,2319,100.0,28.82,17.1213
2019-12-14,42.0056,0.8414,100.0,445.0,549.27,1350.22,1119.71,3.91,5.71,139.16,2211.95,8322.76,1.02,41.83,130.45,2388.0,8092.24,9.3363,0.02,329,2212,100.0,10.62,6.2716
2019-12-15,10.0061,0.2505,100.0,489.05,604.38,1489.45,1302.06,10.52,15.49,394.85,2318.87,8781.64,1.26,45.18,371.91,2388.06,8134.57,8.6095,0.03,370,2319,100.0,28.64,17.1933
2019-12-16,42.0028,0.84,100.0,445.0,548.99,1352.42,1124.96,3.91,5.71,138.04,2211.98,8320.45,1.02,41.88,130.37,2388.09,8087.38,9.2913,0.02,329,2212,100.0,10.66,6.5341
2019-12-17,42.0023,0.84,100.0,445.0,549.67,1353.63,1118.2,3.91,5.71,138.75,2211.95,8320.5,1.02,41.77,130.62,2387.98,8086.24,9.3629,0.02,331,2212,100.0,10.69,6.4057
2019-12-18,25.0049,0.62,60.0,462.54,536.77,1260.6,1038.33,7.05,9.02,176.04,1915.4,8018.95,0.94,36.49,164.68,2028.28,7875.85,10.8811,0.02,306,1915,84.93,14.23,8.6154
2019-12-19,35.0061,0.8413,100.0,449.44,555.49,1361.68,1127.64,5.48,8.0,194.84,2222.95,8350.61,1.02,41.96,182.93,2388.08,8073.77,9.2903,0.02,332,2223,100.0,14.88,9.0076
2019-12-20,20.0038,0.7006,100.0,491.19,607.13,1479.23,1241.55,9.35,13.65,334.96,2323.91,8734.19,1.08,44.17,315.02,2388.03,8065.96,9.2127,0.02,364,2324,100.0,24.63,14.7406
2019-12-21,42.0024,0.8403,100.0,445.0,548.99,1345.51,1125.02,3.91,5.71,140.05,2211.95,8322.38,1.02,41.86,130.88,2387.99,8083.52,9.3453,0.02,328,2212,100.0,10.72,6.4695
2019-12-22,10.0054,0.25,100.0,489.05,604.59,1494.41,1299.47,10.52,15.49,395.27,2318.83,8783.0,1.26,45.26,372.06,2388.01,8130.04,8.6257,0.03,368,2319,100.0,28.75,17.1946
2019-12-23,20.0045,0.7,100.0,491.19,606.69,1475.73,1249.47,9.35,13.65,335.09,2323.95,8729.02,1.08,44.04,315.27,2388.08,8061.97,9.2255,0.02,364,2324,100.0,24.57,14.7446
2019-12-24,0.0002,0.0,100.0,518.67,642.81,1590.62,1397.53,14.62,21.61,554.54,2388.01,9063.96,1.3,47.18,522.61,2388.05,8133.96,8.4371,0.03,393,2388,100.0,38.82,23.4374
2019-12-25,25.0047,0.6213,60.0,462.54,536.94,1263.15,1040.39,7.05,9.03,176.8,1915.41,8011.68,0.94,36.58,165.05,2028.29,7878.24,10.8912,0.02,308,1915,84.93,14.37,8.549
2019-12-26,25.0001,0.62,60.0,462.54,536.48,1258.44,1037.6,7.05,9.03,175.72,1915.38,8007.93,0.94,36.81,164.39,2028.25,7874.26,10.8682,0.02,306,1915,84.93,14.29,8.5593
2019-12-27,42.0075,0.8403,100.0,445.0,549.7,1345.43,1121.89,3.91,5.71,138.38,2211.98,8321.61,1.02,41.87,130.35,2388.06,8086.4,9.3432,0.02,331,2212,100.0,10.67,6.4069
